,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI)
73,NEVADA,1997,2081,3449,0.16166666666666665,0.87,0.15,8.56
74,NEW HAMPSHIRE,1997,200,7961,2.316666666666667,2.316666666666667,0.08,8.56
75,NEW JERSEY,1997,606,5471,2.004166666666666,2.004166666666666,-0.2,8.56
76,NEW MEXICO,1997,911,4905,1.3716666666666668,0.9066666666666666,0.87,8.56
77,NEW YORK,1997,445,6391,2.48,2.48,0.04,8.56
78,NORTH CAROLINA,1997,1148,3585,0.625,0.7716666666666666,-0.2,8.56
79,NORTH DAKOTA,1997,475,9399,3.750833333333333,3.750833333333333,0.5,8.56
80,OHIO,1997,537,6077,2.8216666666666668,2.8216666666666668,0.46,8.56
81,OKLAHOMA,1997,1654,3826,3.2433333333333327,3.2433333333333327,1.1,8.56
82,OREGON,1997,216,5228,3.115,3.115,0.15,8.56
83,PENNSYLVANIA,1997,478,6049,2.265833333333333,2.265833333333333,-0.25,8.56
84,RHODE ISLAND,1997,429,6082,-0.16833333333333333,0.4383333333333333,-0.51,8.56
85,SOUTH CAROLINA,1997,1598,2685,1.2033333333333334,1.2033333333333334,0.91,8.56
86,SOUTH DAKOTA,1997,635,7988,7.185833333333334,7.185833333333334,1.83,8.56
87,TENNESSEE,1997,1127,4045,3.3775,3.3775,0.67,8.56
88,TEXAS,1997,2518,2151,2.803333333333333,2.4091666666666667,1.35,8.56
89,UTAH,1997,421,7284,3.0483333333333333,3.0483333333333333,1.37,8.56
90,VERMONT,1997,132,8585,2.3091666666666666,2.3091666666666666,0.35,8.56
91,VIRGINIA,1997,866,4526,-0.5208333333333334,1.1641666666666668,-0.49,8.56
92,WASHINGTON,1997,179,5531,3.613333333333333,4.443333333333333,1.26,8.56
93,WEST VIRGINIA,1997,563,5434,2.3683333333333336,2.3683333333333336,-0.11,8.56
94,WISCONSIN,1997,362,7900,1.535,1.535,0.15,8.56
95,WYOMING,1997,217,8565,4.110833333333333,4.110833333333333,1.33,8.56
96,ALABAMA,1998,2244,2409,0.5149999999999999,1.1933333333333334,-0.12,6.24
97,ARIZONA,1998,2648,2291,1.3683333333333332,2.311666666666666,1.05,6.24
98,ARKANSAS,1998,2234,3050,-0.8799999999999999,-0.7458333333333332,-0.54,6.24
99,CALIFORNIA,1998,780,3407,4.636666666666666,5.045833333333333,2.42,6.24
100,COLORADO,1998,319,6972,3.1791666666666667,3.3925000000000005,0.55,6.24
101,CONNECTICUT,1998,581,5238,0.22416666666666665,0.8891666666666665,0.17,6.24
102,DELAWARE,1998,1107,3965,-0.6283333333333333,1.480297366166875e-16,-0.64,6.24
103,FLORIDA,1998,3826,558,-0.8866666666666664,-0.13916666666666647,-0.5,6.24
104,GEORGIA,1998,2007,2504,0.08500000000000013,0.985,-0.33,6.24
105,IDAHO,1998,570,6762,2.2550000000000003,2.2550000000000003,0.88,6.24
106,ILLINOIS,1998,1032,5162,1.4,1.3083333333333331,0.62,6.24
107,INDIANA,1998,1022,4782,0.34,0.9291666666666666,0.41,6.24
108,IOWA,1998,935,5985,1.795,1.795,0.98,6.24
109,KANSAS,1998,1693,4576,3.0508333333333333,3.0508333333333333,0.89,6.24
110,KENTUCKY,1998,1367,3857,-0.4583333333333333,-0.2091666666666667,-0.1,6.24
111,LOUISIANA,1998,3046,1518,0.2933333333333332,-0.19083333333333352,-0.01,6.24
112,MAINE,1998,218,7179,0.475,0.8616666666666667,0.24,6.24
113,MARYLAND,1998,1167,3969,0.008333333333333378,0.4183333333333332,-0.54,6.24
114,MASSACHUSETTS,1998,481,5560,0.3433333333333333,1.34,0.33,6.24
115,MICHIGAN,1998,665,5771,-1.8083333333333331,-1.9575,-1.26,6.24
116,MINNESOTA,1998,515,7415,0.9908333333333336,1.2483333333333333,0.46,6.24
117,MISSISSIPPI,1998,2530,2138,-0.7041666666666667,-0.1925,-0.46,6.24
118,MISSOURI,1998,1464,4476,2.129166666666667,2.129166666666667,1.09,6.24
119,MONTANA,1998,280,8254,-0.26833333333333337,0.26833333333333337,0.07,6.24
120,NEBRASKA,1998,1117,5882,3.225,3.225,1.24,6.24
121,NEVADA,1998,1757,3928,3.882499999999999,5.031666666666666,2.89,6.24
122,NEW HAMPSHIRE,1998,277,6754,0.18916666666666668,1.115833333333333,0.22,6.24
123,NEW JERSEY,1998,835,4539,-0.31000000000000005,-0.1325000000000002,-0.67,6.24
124,NEW MEXICO,1998,990,4617,0.6325,1.3825,0.2,6.24
