,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI)
313,NEVADA,2002,2227,3558,-4.079166666666667,-4.079166666666667,-1.49,21.965
314,NEW HAMPSHIRE,2002,338,7288,-2.2225,-2.2225,-0.15,21.965
315,NEW JERSEY,2002,935,4969,-2.515833333333333,-3.2016666666666667,-0.32,21.965
316,NEW MEXICO,2002,1083,4590,-3.0116666666666667,-3.0116666666666667,-0.96,21.965
317,NEW YORK,2002,671,5815,-0.29416666666666663,-1.0433333333333337,0.21,21.965
318,NORTH CAROLINA,2002,1569,3326,-2.7875,-3.6891666666666665,-0.7,21.965
319,NORTH DAKOTA,2002,501,9255,-1.8266666666666664,-1.6366666666666667,-0.55,21.965
320,OHIO,2002,963,5560,-0.6075,-0.4241666666666665,-0.31,21.965
321,OKLAHOMA,2002,1802,3744,0.06500000000000003,-0.5658333333333333,0.28,21.965
322,OREGON,2002,215,5324,-2.6983333333333337,-2.6983333333333337,-1.17,21.965
323,PENNSYLVANIA,2002,812,5548,-1.525,-2.255,-0.09,21.965
324,RHODE ISLAND,2002,586,5603,-1.3149999999999995,-1.7716666666666665,-0.02,21.965
325,SOUTH CAROLINA,2002,2069,2592,-3.0591666666666666,-4.291666666666667,-0.59,21.965
326,SOUTH DAKOTA,2002,855,7629,-2.4658333333333338,-2.1533333333333338,-1.21,21.965
327,TENNESSEE,2002,1555,3779,0.68,1.1275,0.49,21.965
328,TEXAS,2002,2689,2009,0.17416666666666664,-0.08833333333333344,0.3,21.965
329,UTAH,2002,595,7366,-4.426666666666667,-4.426666666666667,-1.7,21.965
330,VERMONT,2002,241,7762,-0.24,-0.32333333333333353,0.46,21.965
331,VIRGINIA,2002,1235,4135,-2.2358333333333333,-2.9866666666666664,-0.46,21.965
332,WASHINGTON,2002,156,5766,-0.2841666666666666,-0.3458333333333334,-0.69,21.965
333,WEST VIRGINIA,2002,918,4956,0.3133333333333333,-1.1483333333333337,0.27,21.965
334,WISCONSIN,2002,625,7334,1.600833333333333,2.055833333333333,0.78,21.965
335,WYOMING,2002,336,8598,-7.363333333333332,-7.363333333333332,-2.23,21.965
336,ALABAMA,2003,1769,2798,2.0575,2.936666666666666,1.01,22.93
337,ARIZONA,2003,3197,1886,-3.6183333333333336,-3.6183333333333336,-0.95,22.93
338,ARKANSAS,2003,1624,3463,0.01916666666666664,0.06000000000000001,-0.23,22.93
339,CALIFORNIA,2003,1057,2833,0.25416666666666665,-0.21416666666666664,-0.08,22.93
340,COLORADO,2003,412,6844,-4.9425,-4.9425,-1.09,22.93
341,CONNECTICUT,2003,556,6461,0.8183333333333334,1.37,0.86,22.93
342,DELAWARE,2003,999,4951,3.5866666666666664,3.5866666666666664,1.6,22.93
343,FLORIDA,2003,3563,772,1.4741666666666673,2.2616666666666667,0.4,22.93
344,GEORGIA,2003,1551,2910,2.276666666666667,2.43,1.01,22.93
345,IDAHO,2003,644,6454,-2.9825000000000004,-2.9825000000000004,-0.87,22.93
346,ILLINOIS,2003,754,6275,-0.11583333333333334,-0.7791666666666665,0.17,22.93
347,INDIANA,2003,738,5912,1.220833333333333,0.8958333333333331,1.17,22.93
348,IOWA,2003,753,6922,-0.4275000000000001,-0.8841666666666668,-0.39,22.93
349,KANSAS,2003,1430,4918,-1.5458333333333332,-1.5458333333333332,-0.28,22.93
350,KENTUCKY,2003,1013,4595,2.8175000000000003,2.8175000000000003,1.21,22.93
351,LOUISIANA,2003,2599,1861,-0.12666666666666668,0.7158333333333334,-0.32,22.93
352,MAINE,2003,245,8264,-1.1725000000000003,-1.3341666666666667,0.28,22.93
353,MARYLAND,2003,983,4979,3.773333333333333,3.5491666666666664,2.02,22.93
354,MASSACHUSETTS,2003,520,6737,1.7266666666666668,1.7266666666666668,0.87,22.93
355,MICHIGAN,2003,463,7140,-1.5658333333333332,-1.8316666666666668,-0.19,22.93
356,MINNESOTA,2003,467,8602,-0.8325,0.10333333333333346,-0.75,22.93
357,MISSISSIPPI,2003,2039,2572,2.9758333333333336,2.9758333333333336,0.61,22.93
358,MISSOURI,2003,1170,5120,-0.42250000000000015,-1.3258333333333334,0.04,22.93
359,MONTANA,2003,319,8311,-3.25,-3.25,-0.86,22.93
360,NEBRASKA,2003,980,6248,-3.000833333333334,-3.000833333333334,-0.85,22.93
361,NEVADA,2003,2400,3367,-4.029166666666667,-4.029166666666667,-0.94,22.93
362,NEW HAMPSHIRE,2003,315,8048,-0.16499999999999992,-0.3008333333333332,0.63,22.93
363,NEW JERSEY,2003,768,5693,2.476666666666667,2.293333333333333,1.23,22.93
364,NEW MEXICO,2003,1116,4219,-3.535833333333333,-3.535833333333333,-1.66,22.93
365,NEW YORK,2003,560,6574,1.614166666666667,1.614166666666667,1.16,22.93
366,NORTH CAROLINA,2003,1299,3524,2.708333333333333,2.7091666666666665,1.62,22.93
367,NORTH DAKOTA,2003,514,9328,-0.9641666666666668,-1.2500000000000002,-0.59,22.93
368,OHIO,2003,611,6051,1.8025,1.8025,1.49,22.93
369,OKLAHOMA,2003,1823,3607,-0.535,-0.29750000000000004,-0.46,22.93
370,OREGON,2003,308,5012,-2.6875,-2.6875,-0.64,22.93
371,PENNSYLVANIA,2003,593,6165,2.220833333333333,2.181666666666666,1.61,22.93
372,RHODE ISLAND,2003,555,6348,1.4566666666666663,1.9141666666666663,0.85,22.93
373,SOUTH CAROLINA,2003,1740,2744,1.2916666666666667,1.9850000000000003,0.9,22.93
374,SOUTH DAKOTA,2003,717,7549,-2.310833333333333,-2.310833333333333,-0.65,22.93
375,TENNESSEE,2003,1226,3905,3.1566666666666667,3.1566666666666667,1.24,22.93
376,TEXAS,2003,2688,1897,-0.39916666666666667,0.004999999999999949,-0.44,22.93
377,UTAH,2003,668,6649,-4.426666666666667,-4.426666666666667,-1.27,22.93
378,VERMONT,2003,243,8551,0.3008333333333333,0.20416666666666675,0.81,22.93
379,VIRGINIA,2003,984,4532,4.3675,4.1675,2.26,22.93
380,WASHINGTON,2003,232,5369,-1.0308333333333335,-1.429166666666667,-0.49,22.93
381,WEST VIRGINIA,2003,668,5309,3.275833333333333,3.275833333333333,1.93,22.93
382,WISCONSIN,2003,470,7751,-0.94,-0.14333333333333342,-0.64,22.93
383,WYOMING,2003,378,8032,-4.8116666666666665,-4.8116666666666665,-0.95,22.93
384,ALABAMA,2004,1845,2633,0.7383333333333333,1.3875000000000002,0.65,2.555
385,ARIZONA,2004,2904,2041,-2.0308333333333333,-3.1500000000000004,-0.39,2.555
386,ARKANSAS,2004,1610,3171,0.6,0.8133333333333334,0.72,2.555
387,CALIFORNIA,2004,857,2842,-0.9874999999999998,-1.6466666666666665,-0.57,2.555
388,COLORADO,2004,160,6967,-1.3624999999999998,-3.089166666666667,-0.28,2.555
389,CONNECTICUT,2004,476,6154,-0.0725,0.6291666666666668,0.08,2.555
390,DELAWARE,2004,1085,4599,2.4000000000000004,2.4000000000000004,-0.05,2.555
391,FLORIDA,2004,3435,708,-0.4708333333333334,0.2891666666666666,0.05,2.555
392,GEORGIA,2004,1702,2765,0.5299999999999999,0.43,0.27,2.555
393,IDAHO,2004,440,6768,-0.6841666666666663,-1.6441666666666668,-0.12,2.555
394,ILLINOIS,2004,683,5908,0.7933333333333334,1.0158333333333334,0.44,2.555
395,INDIANA,2004,762,5526,2.6283333333333334,2.6283333333333334,0.6,2.555
396,IOWA,2004,606,6547,1.0833333333333337,0.8708333333333335,0.64,2.555
397,KANSAS,2004,1212,4641,0.24,0.1241666666666667,0.36,2.555
398,KENTUCKY,2004,1087,4237,3.0691666666666664,3.0691666666666664,1.02,2.555
399,LOUISIANA,2004,2705,1655,1.1483333333333332,1.3575,1.01,2.555
400,MAINE,2004,159,8191,-0.7883333333333336,-0.26666666666666666,-0.26,2.555
401,MARYLAND,2004,1118,4638,3.365833333333333,3.365833333333333,0.42,2.555
402,MASSACHUSETTS,2004,390,6451,0.2591666666666667,0.7416666666666667,0.11,2.555
403,MICHIGAN,2004,412,6780,0.8566666666666668,0.6408333333333335,0.59,2.555
404,MINNESOTA,2004,279,8450,0.4816666666666666,-0.14666666666666675,0.68,2.555
405,MISSISSIPPI,2004,2083,2337,2.458333333333333,2.458333333333333,0.9,2.555
406,MISSOURI,2004,996,4805,1.5025000000000002,1.5025000000000002,0.78,2.555
407,MONTANA,2004,132,8294,-3.9216666666666673,-3.9216666666666673,-1.24,2.555
408,NEBRASKA,2004,806,6004,-1.7875000000000003,-2.4525,-0.46,2.555
409,NEVADA,2004,2090,3510,-1.1608333333333338,-1.8275000000000008,-0.01,2.555
410,NEW HAMPSHIRE,2004,215,7720,0.5833333333333333,0.5750000000000001,0.0,2.555
411,NEW JERSEY,2004,780,5280,2.175,2.175,0.29,2.555
412,NEW MEXICO,2004,803,4634,0.3833333333333333,-1.5858333333333328,0.52,2.555
413,NEW YORK,2004,485,6244,2.766666666666667,2.766666666666667,0.78,2.555
414,NORTH CAROLINA,2004,1436,3400,-0.26083333333333325,0.9841666666666667,0.0,2.555
415,NORTH DAKOTA,2004,243,9197,0.7291666666666666,0.8083333333333335,0.62,2.555
416,OHIO,2004,653,5696,3.905833333333333,3.905833333333333,1.18,2.555
417,OKLAHOMA,2004,1664,3341,1.0558333333333334,0.7858333333333333,0.79,2.555
418,OREGON,2004,261,5013,-1.8375,-1.8375,-0.36,2.555
419,PENNSYLVANIA,2004,623,5775,4.504166666666666,4.504166666666666,1.5,2.555
420,RHODE ISLAND,2004,425,6113,0.15666666666666665,0.6191666666666666,0.15,2.555
421,SOUTH CAROLINA,2004,1947,2643,-0.5141666666666667,-0.2491666666666667,-0.24,2.555
422,SOUTH DAKOTA,2004,490,7209,-0.6275000000000001,-1.005,0.03,2.555
423,TENNESSEE,2004,1289,3600,2.8516666666666666,2.8516666666666666,1.06,2.555
424,TEXAS,2004,2669,1777,2.115833333333333,1.909166666666667,1.69,2.555
425,UTAH,2004,419,7125,-1.4183333333333332,-1.8591666666666664,0.23,2.555
426,VERMONT,2004,171,8333,1.62,1.62,0.03,2.555
427,VIRGINIA,2004,1086,4265,3.365,3.6983333333333333,0.73,2.555
428,WASHINGTON,2004,241,5246,-1.8966666666666672,-1.8966666666666672,-0.6,2.555
429,WEST VIRGINIA,2004,731,4959,4.2974999999999985,4.2974999999999985,1.04,2.555
430,WISCONSIN,2004,331,7448,0.5066666666666667,1.1708333333333334,0.7,2.555
431,WYOMING,2004,149,8045,-4.5825000000000005,-4.5825000000000005,-1.33,2.555
432,ALABAMA,2005,1908,2686,1.3041666666666665,2.24,0.33,8.92
433,ARIZONA,2005,2972,1892,1.653333333333333,3.544166666666668,0.79,8.92
434,ARKANSAS,2005,1920,3150,-1.8741666666666668,-1.225833333333333,-1.42,8.92
435,CALIFORNIA,2005,812,2815,3.084166666666667,3.084166666666667,1.34,8.92
436,COLORADO,2005,330,6836,0.6974999999999999,1.2908333333333333,0.32,8.92
437,CONNECTICUT,2005,750,6180,0.4050000000000001,0.7616666666666666,0.37,8.92
438,DELAWARE,2005,1273,4754,1.0416666666666667,1.1716666666666666,0.3,8.92
439,FLORIDA,2005,3417,704,0.4166666666666667,1.3299999999999998,0.62,8.92
440,GEORGIA,2005,1707,2849,1.4058333333333335,2.4066666666666667,0.59,8.92
441,IDAHO,2005,426,7039,0.4133333333333333,0.2566666666666665,0.14,8.92
442,ILLINOIS,2005,1112,5919,-1.8908333333333327,-1.2333333333333336,-1.18,8.92
443,INDIANA,2005,1062,5618,-0.4749999999999999,1.538333333333333,-0.08,8.92
444,IOWA,2005,956,6533,-0.3583333333333333,0.15333333333333324,-0.36,8.92
445,KANSAS,2005,1529,4661,1.2824999999999998,2.1166666666666667,0.72,8.92
446,KENTUCKY,2005,1355,4381,-0.9216666666666667,0.27666666666666656,-1.02,8.92
447,LOUISIANA,2005,2729,1584,-1.5333333333333334,-0.8916666666666666,-1.1,8.92
448,MAINE,2005,267,7860,2.69,2.779166666666667,2.04,8.92
449,MARYLAND,2005,1269,4766,0.5083333333333333,1.5233333333333334,0.08,8.92
450,MASSACHUSETTS,2005,632,6419,1.1891666666666667,1.4741666666666664,0.86,8.92
451,MICHIGAN,2005,777,6798,-1.7641666666666669,-1.6416666666666664,-1.08,8.92
452,MINNESOTA,2005,554,8130,2.7158333333333333,2.7158333333333333,1.03,8.92
453,MISSISSIPPI,2005,2169,2344,-0.4783333333333333,0.9816666666666668,-0.34,8.92
454,MISSOURI,2005,1424,4774,-0.6908333333333334,-0.027499999999999896,-0.58,8.92
455,MONTANA,2005,173,8434,-1.1116666666666666,-3.2158333333333338,-0.5,8.92
456,NEBRASKA,2005,1148,5928,-0.2741666666666667,-0.6024999999999999,-0.09,8.92
457,NEVADA,2005,1994,3488,4.556666666666667,4.556666666666667,1.8,8.92
458,NEW HAMPSHIRE,2005,403,7601,2.645,2.645,1.61,8.92
459,NEW JERSEY,2005,1052,5397,0.4491666666666667,1.2274999999999998,0.19,8.92
460,NEW MEXICO,2005,986,4361,1.2391666666666663,2.3516666666666666,0.45,8.92
461,NEW YORK,2005,824,6242,2.204166666666666,2.204166666666666,0.46,8.92
462,NORTH CAROLINA,2005,1529,3464,-0.01499999999999994,-0.12833333333333333,-0.1,8.92
463,NORTH DAKOTA,2005,450,8703,1.5516666666666663,1.7916666666666667,0.88,8.92
464,OHIO,2005,969,5854,-0.3441666666666667,2.52,-0.12,8.92
465,OKLAHOMA,2005,1943,3353,-0.4633333333333334,0.8333333333333334,-0.58,8.92
466,OREGON,2005,223,5259,0.12916666666666665,-0.5558333333333333,0.07,8.92
467,PENNSYLVANIA,2005,884,5887,0.1,1.8866666666666665,-0.19,8.92
468,RHODE ISLAND,2005,681,6092,1.1483333333333334,1.3033333333333337,0.86,8.92
469,SOUTH CAROLINA,2005,1937,2682,0.16,-0.13416666666666666,0.08,8.92
470,SOUTH DAKOTA,2005,806,7180,-0.15749999999999995,0.5516666666666666,0.16,8.92
471,TENNESSEE,2005,1481,3716,-0.5941666666666666,1.1525,-0.66,8.92
472,TEXAS,2005,2828,1711,0.22583333333333366,1.9125,-0.56,8.92
473,UTAH,2005,454,6957,3.2408333333333337,4.589166666666668,1.46,8.92
474,VERMONT,2005,367,7998,1.8441666666666665,1.8441666666666665,0.91,8.92
475,VIRGINIA,2005,1238,4408,-0.9741666666666666,0.5716666666666665,-0.5,8.92
476,WASHINGTON,2005,167,5506,-0.2691666666666666,-1.6783333333333332,-0.28,8.92
477,WEST VIRGINIA,2005,956,5182,-0.6366666666666667,0.9450000000000004,-0.62,8.92
478,WISCONSIN,2005,676,7319,-1.3391666666666666,-1.100833333333333,-0.75,8.92
479,WYOMING,2005,263,7976,-2.811666666666667,-2.811666666666667,-0.47,8.92
480,ALABAMA,2006,2041,2528,-2.0700000000000003,-1.7350000000000003,-0.83,14.705
481,ARIZONA,2006,3047,1939,-3.385,-3.385,-1.25,14.705
482,ARKANSAS,2006,1844,3026,-2.263333333333333,-3.1658333333333317,-0.34,14.705
483,CALIFORNIA,2006,1012,3014,0.4608333333333333,2.0625,-0.06,14.705
484,COLORADO,2006,372,6927,-0.4633333333333332,-1.7408333333333337,-0.55,14.705
485,CONNECTICUT,2006,598,5421,2.8016666666666667,2.8016666666666667,0.73,14.705
486,DELAWARE,2006,1126,4011,0.5075,1.008333333333333,0.23,14.705
487,FLORIDA,2006,3484,604,-2.9075,-2.668333333333333,-1.95,14.705
488,GEORGIA,2006,1761,2635,-2.425,-2.0658333333333334,-1.31,14.705
489,IDAHO,2006,569,6829,-0.02833333333333337,0.2949999999999998,0.06,14.705
490,ILLINOIS,2006,875,5527,-0.3241666666666667,-1.9,0.27,14.705
491,INDIANA,2006,839,5146,1.7524999999999995,1.6016666666666666,1.51,14.705
492,IOWA,2006,849,6095,-0.6991666666666667,-1.3091666666666668,-0.16,14.705
493,KANSAS,2006,1580,4231,-1.8725000000000005,-1.905,-0.83,14.705
494,KENTUCKY,2006,1138,4129,-0.0766666666666666,-0.5216666666666668,0.77,14.705
495,LOUISIANA,2006,2776,1495,-2.2491666666666665,-3.0158333333333336,-0.43,14.705
496,MAINE,2006,260,7045,4.3199999999999985,4.3199999999999985,0.97,14.705
497,MARYLAND,2006,1141,4108,-0.09333333333333327,0.4766666666666666,0.09,14.705
498,MASSACHUSETTS,2006,511,5661,2.750833333333334,2.750833333333334,0.65,14.705
499,MICHIGAN,2006,582,6167,0.7675000000000001,-0.6666666666666666,0.6,14.705
500,MINNESOTA,2006,578,7654,-0.6458333333333335,0.01499999999999994,-0.91,14.705
501,MISSISSIPPI,2006,2268,2236,-1.87,-1.87,-0.49,14.705
502,MISSOURI,2006,1330,4443,-1.869166666666666,-2.3249999999999997,-0.4,14.705
503,MONTANA,2006,287,8084,0.040833333333333326,-0.7016666666666668,-0.21,14.705
504,NEBRASKA,2006,1083,5659,-1.0066666666666668,-2.3091666666666666,-0.75,14.705
505,NEVADA,2006,2209,3594,0.7466666666666667,2.3691666666666658,-0.05,14.705
506,NEW HAMPSHIRE,2006,319,6868,4.62,4.62,1.4,14.705
507,NEW JERSEY,2006,853,4620,1.0416666666666667,1.25,0.52,14.705
508,NEW MEXICO,2006,970,4387,-0.7316666666666668,-1.705833333333333,-0.44,14.705
509,NEW YORK,2006,620,5486,2.7883333333333336,2.7883333333333336,1.14,14.705
510,NORTH CAROLINA,2006,1360,3139,0.1458333333333334,0.4583333333333333,0.25,14.705
511,NORTH DAKOTA,2006,602,8291,-0.8566666666666668,-0.5233333333333334,-0.83,14.705
512,OHIO,2006,734,5239,0.8833333333333334,0.6408333333333334,1.0,14.705
513,OKLAHOMA,2006,2154,3017,-3.8150000000000013,-4.486666666666667,-1.53,14.705
514,OREGON,2006,241,5269,-0.1416666666666667,0.7075000000000001,0.01,14.705
515,PENNSYLVANIA,2006,694,5206,1.1766666666666667,1.2925000000000002,0.69,14.705
516,RHODE ISLAND,2006,563,5320,3.083333333333333,3.083333333333333,0.88,14.705
517,SOUTH CAROLINA,2006,1855,2388,-0.695,-0.9425,-0.4,14.705
518,SOUTH DAKOTA,2006,835,6938,-0.3216666666666666,-1.4266666666666667,-0.78,14.705
519,TENNESSEE,2006,1404,3563,-1.5450000000000002,-1.5450000000000002,-0.25,14.705
520,TEXAS,2006,2999,1525,-2.879166666666667,-4.230833333333333,-1.43,14.705
521,UTAH,2006,560,7049,-0.6308333333333332,0.5291666666666666,-0.18,14.705
522,VERMONT,2006,253,7275,3.6066666666666674,3.6066666666666674,1.26,14.705
523,VIRGINIA,2006,1086,3944,0.04583333333333342,-0.2516666666666668,0.28,14.705
524,WASHINGTON,2006,189,5561,-0.16666666666666666,0.4083333333333334,0.26,14.705
525,WEST VIRGINIA,2006,723,4818,-0.5566666666666666,-0.8841666666666668,0.0,14.705
526,WISCONSIN,2006,559,6880,-1.570833333333333,-1.570833333333333,-0.35,14.705
527,WYOMING,2006,378,7989,-3.440833333333334,-3.440833333333334,-1.5,14.705
528,ALABAMA,2007,2173,2517,-3.9525,-3.9525,-1.82,34.62
529,ARIZONA,2007,3212,1958,-3.932500000000001,-3.932500000000001,-1.22,34.62
530,ARKANSAS,2007,1920,3195,-1.0891666666666666,-0.9558333333333334,-0.42,34.62
531,CALIFORNIA,2007,889,2876,-3.7675,-3.7675,-1.55,34.62
532,COLORADO,2007,403,7158,0.18916666666666665,0.91,0.02,34.62
533,CONNECTICUT,2007,563,5950,-0.26083333333333325,0.5516666666666666,-0.36,34.62
534,DELAWARE,2007,1220,4486,-1.5816666666666668,-0.4841666666666667,-0.94,34.62
535,FLORIDA,2007,3634,558,-5.3116666666666665,-5.3116666666666665,-1.83,34.62
536,GEORGIA,2007,1879,2608,-4.1450000000000005,-4.1450000000000005,-1.55,34.62
537,IDAHO,2007,635,6737,-2.5741666666666667,-2.5741666666666667,-1.2,34.62
538,ILLINOIS,2007,1058,5930,-0.5416666666666666,-0.4191666666666666,-0.54,34.62
539,INDIANA,2007,1106,5458,-0.17249999999999996,1.2074999999999996,-0.34,34.62
540,IOWA,2007,981,6745,2.4,2.4,1.4,34.62
541,KANSAS,2007,1584,4856,1.8691666666666664,1.409166666666667,0.86,34.62
542,KENTUCKY,2007,1516,4143,-1.3441666666666665,-1.3541666666666667,-1.01,34.62
543,LOUISIANA,2007,2675,1564,-0.365,-0.08083333333333327,-0.34,34.62
544,MAINE,2007,179,8051,2.8775000000000013,2.8775000000000013,0.55,34.62
545,MARYLAND,2007,1258,4536,-2.02,-1.4116666666666668,-1.26,34.62
546,MASSACHUSETTS,2007,483,6270,0.1225000000000001,0.7549999999999999,-0.14,34.62
547,MICHIGAN,2007,654,6561,-1.1683333333333332,-0.8666666666666667,-0.95,34.62
548,MINNESOTA,2007,552,8300,-0.9391666666666666,-1.3416666666666668,0.07,34.62
549,MISSISSIPPI,2007,2315,2223,-2.7641666666666667,-2.7641666666666667,-1.24,34.62
550,MISSOURI,2007,1501,4836,-0.34416666666666657,-0.4699999999999999,-0.27,34.62
551,MONTANA,2007,329,8183,-0.9183333333333332,-1.1658333333333333,-0.66,34.62
552,NEBRASKA,2007,1170,6257,2.2991666666666664,1.9466666666666663,1.05,34.62
553,NEVADA,2007,2346,3422,-4.2974999999999985,-4.2974999999999985,-1.9,34.62
554,NEW HAMPSHIRE,2007,243,7676,3.2308333333333343,3.2308333333333343,0.46,34.62
555,NEW JERSEY,2007,870,5146,0.05083333333333324,0.7108333333333331,-0.12,34.62
556,NEW MEXICO,2007,988,4549,0.4483333333333333,1.0691666666666666,-0.01,34.62
557,NEW YORK,2007,588,6086,2.3116666666666665,2.3116666666666665,0.27,34.62
558,NORTH CAROLINA,2007,1621,3120,-3.0416666666666665,-2.646666666666667,-2.12,34.62
559,NORTH DAKOTA,2007,521,9014,0.01499999999999994,0.17833333333333334,0.23,34.62
560,OHIO,2007,900,5556,-0.0741666666666666,0.8316666666666667,-0.14,34.62
561,OKLAHOMA,2007,1909,3535,2.5841666666666665,1.419166666666667,1.23,34.62
562,OREGON,2007,197,5490,-1.5508333333333333,-1.5508333333333333,-0.73,34.62
563,PENNSYLVANIA,2007,732,5678,0.325,0.5750000000000002,-0.01,34.62
564,RHODE ISLAND,2007,556,5869,-0.020833333333333443,0.9516666666666664,-0.38,34.62
565,SOUTH CAROLINA,2007,2069,2350,-2.271666666666667,-2.271666666666667,-1.61,34.62
566,SOUTH DAKOTA,2007,852,7441,0.5458333333333334,0.4758333333333333,0.52,34.62
567,TENNESSEE,2007,1739,3494,-3.4775000000000005,-3.4775000000000005,-1.76,34.62
568,TEXAS,2007,2593,1859,2.0375,3.3183333333333334,2.05,34.62
569,UTAH,2007,674,6861,-2.41,-2.295833333333334,-1.22,34.62
570,VERMONT,2007,182,8181,3.15,3.15,0.8,34.62
571,VIRGINIA,2007,1241,4088,-2.046666666666667,-1.1925,-1.33,34.62
572,WASHINGTON,2007,168,5846,-0.805,-0.2733333333333334,-0.41,34.62
573,WEST VIRGINIA,2007,932,4899,-1.3349999999999995,-1.2658333333333334,-0.69,34.62
574,WISCONSIN,2007,590,7302,-0.18083333333333346,-0.4916666666666667,0.22,34.62
575,WYOMING,2007,406,8004,-4.808333333333334,-4.808333333333334,-1.6,34.62
576,ALABAMA,2008,1844,2803,-1.6799999999999995,-2.7575,-0.09,10.385
577,ARIZONA,2008,2964,2001,-1.4733333333333332,-1.4733333333333332,0.02,10.385
578,ARKANSAS,2008,1604,3618,1.9416666666666664,1.8275,1.15,10.385
579,CALIFORNIA,2008,1017,2861,-3.675833333333333,-3.675833333333333,-1.19,10.385
580,COLORADO,2008,296,7456,0.04166666666666666,0.5058333333333331,0.1,10.385
581,CONNECTICUT,2008,570,5910,1.92,1.92,1.27,10.385
582,DELAWARE,2008,1121,4415,-2.2625,-2.2625,-0.35,10.385
583,FLORIDA,2008,3375,634,-3.2183333333333337,-3.2183333333333337,-0.27,10.385
584,GEORGIA,2008,1648,2951,-2.370833333333334,-3.046666666666667,-0.33,10.385
585,IDAHO,2008,445,7371,-1.6674999999999998,-1.6674999999999998,-0.42,10.385
586,ILLINOIS,2008,795,6639,2.985,2.8316666666666666,1.87,10.385
587,INDIANA,2008,826,6037,2.6141666666666667,2.475,1.19,10.385
588,IOWA,2008,710,7590,4.786666666666666,4.786666666666666,1.76,10.385
589,KANSAS,2008,1269,5280,2.964166666666667,2.964166666666667,1.36,10.385
590,KENTUCKY,2008,1160,4686,-0.2766666666666667,-0.38833333333333336,-0.32,10.385
591,LOUISIANA,2008,2522,1678,-0.4808333333333334,-0.17833333333333334,0.03,10.385
592,MAINE,2008,219,7798,3.891666666666666,3.891666666666666,1.73,10.385
593,MARYLAND,2008,1082,4546,-1.6908333333333332,-1.6908333333333332,0.05,10.385
594,MASSACHUSETTS,2008,498,6188,2.56,2.43,1.58,10.385
595,MICHIGAN,2008,524,7082,1.545,0.6866666666666666,1.12,10.385
596,MINNESOTA,2008,394,9276,1.465833333333333,1.465833333333333,0.61,10.385
597,MISSISSIPPI,2008,2014,2521,-0.5199999999999997,-0.710833333333333,0.42,10.385
598,MISSOURI,2008,1088,5455,3.7258333333333336,3.613333333333333,2.08,10.385
599,MONTANA,2008,169,8941,-0.11083333333333338,-0.7841666666666667,-0.02,10.385
600,NEBRASKA,2008,887,6900,3.5616666666666674,3.5616666666666674,1.57,10.385
601,NEVADA,2008,2184,3615,-3.5958333333333337,-3.5958333333333337,-0.99,10.385
602,NEW HAMPSHIRE,2008,274,7538,4.2716666666666665,4.2716666666666665,1.99,10.385
603,NEW JERSEY,2008,857,5155,-0.010833333333333306,-0.365,0.04,10.385
604,NEW MEXICO,2008,840,4648,-0.5616666666666668,-0.15500000000000005,-0.22,10.385
605,NEW YORK,2008,594,6045,2.6041666666666665,2.6041666666666665,1.21,10.385
606,NORTH CAROLINA,2008,1393,3416,-3.970833333333333,-3.970833333333333,-0.57,10.385
607,NORTH DAKOTA,2008,390,9807,-0.7275,-0.9125,0.2,10.385
608,OHIO,2008,727,6003,0.8291666666666667,1.564166666666667,0.62,10.385
609,OKLAHOMA,2008,1765,3671,2.263333333333333,2.720833333333333,0.68,10.385
610,OREGON,2008,188,5727,-1.3391666666666666,-1.3391666666666666,-0.65,10.385
611,PENNSYLVANIA,2008,645,5821,0.2433333333333333,1.3041666666666665,0.53,10.385
612,RHODE ISLAND,2008,573,5735,1.225833333333333,1.0466666666666666,0.97,10.385
613,SOUTH CAROLINA,2008,1860,2659,-1.9233333333333336,-3.0141666666666667,-0.31,10.385
614,SOUTH DAKOTA,2008,623,8286,1.9808333333333328,2.1891666666666665,1.54,10.385
615,TENNESSEE,2008,1339,3969,-2.6525,-2.6525,-0.32,10.385
616,TEXAS,2008,2713,1798,-2.0641666666666665,-0.5483333333333333,-0.97,10.385
617,UTAH,2008,507,7507,-1.6700000000000002,-1.6700000000000002,-0.35,10.385
618,VERMONT,2008,204,7949,4.2375,4.2375,1.64,10.385
619,VIRGINIA,2008,1061,4268,-2.6525000000000007,-2.6525000000000007,-0.44,10.385
620,WASHINGTON,2008,133,6144,-1.1541666666666666,-1.1541666666666666,-0.54,10.385
621,WEST VIRGINIA,2008,681,5267,0.3116666666666666,-0.29916666666666664,0.15,10.385
622,WISCONSIN,2008,459,8169,1.0475,1.5533333333333337,0.23,10.385
623,WYOMING,2008,234,8754,-1.2683333333333335,-2.229166666666667,-0.08,10.385
624,ALABAMA,2009,1823,2793,2.036666666666666,1.5116666666666667,1.54,3.385
625,ARIZONA,2009,3086,1896,-2.695,-3.035833333333333,-1.61,3.385
626,ARKANSAS,2009,1511,3519,3.695,3.695,1.98,3.385
627,CALIFORNIA,2009,967,2879,-3.565833333333334,-3.565833333333334,-0.88,3.385
628,COLORADO,2009,188,7356,0.6716666666666667,0.5075,0.31,3.385
