"Min Year","Max Year","Data Item"
"1997","2017","AG LAND, CROPLAND, PASTURED ONLY - NUMBER OF OPERATIONS"
"2013","2013","AG LAND, CROPLAND, PASTURED ONLY, IRRIGATED - ACRES"
"2013","2013","AG LAND, CROPLAND, PASTURED ONLY, IRRIGATED - NUMBER OF OPERATIONS"
"2013","2013","AG LAND, IN THE OPEN, IRRIGATED - ACRES"
"2013","2013","AG LAND, IN THE OPEN, IRRIGATED - NUMBER OF OPERATIONS"
"2013","2013","AG LAND, IN THE OPEN, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET"
"2013","2013","AG LAND, IN THE OPEN, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE"
"1997","2018","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $"
"1850","2019","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE"
"1997","2017","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION"
"1997","2017","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE"
"2009","2014","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - ASSET VALUE, MEASURED IN $"
"2009","2014","AG LAND, INCL BUILDINGS, (FOR HORTICULTURE) - OPERATIONS WITH ASSET VALUE"
"2014","2014","AG LAND, INCL BUILDINGS, OWNED, RENTED TO OTHERS, SOLD - ACRES"
"2014","2014","AG LAND, INCL BUILDINGS, OWNED, RENTED TO OTHERS, SOLD - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, INCL BUILDINGS, OWNED, RENTED TO OTHERS, SOLD - NET INCOME, MEASURED IN $"
"2014","2014","AG LAND, INCL BUILDINGS, OWNED, RENTED TO OTHERS, SOLD - NET INCOME, MEASURED IN COUNT"
"2014","2014","AG LAND, INCL BUILDINGS, OWNED, RENTED TO OTHERS, SOLD - RECEIPTS, MEASURED IN $"
"2014","2014","AG LAND, INCL BUILDINGS, OWNED, RENTED TO OTHERS, SOLD - RECEIPTS, MEASURED IN COUNT"
"2014","2014","AG LAND, INCL BUILDINGS, RENTED TO OTHERS - ASSET VALUE, MEASURED IN $"
"2014","2014","AG LAND, INCL BUILDINGS, RENTED TO OTHERS - ASSET VALUE, MEASURED IN COUNT"
"1997","2017","AG LAND, IRRIGATED - ACRES"
"1997","2017","AG LAND, IRRIGATED - AREA, MEASURED IN ACRES / OPERATION"
"2012","2017","AG LAND, IRRIGATED - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, IRRIGATED - NUMBER OF OPERATIONS"
"2013","2013","AG LAND, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET"
"2013","2013","AG LAND, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE"
"2007","2016","AG LAND, ORGANIC - ACRES"
"2007","2016","AG LAND, ORGANIC - NUMBER OF OPERATIONS"
"2014","2014","AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS"
"2008","2008","AG LAND, ORGANIC, CROP INSURANCE, FEDERAL - ACRES"
"2008","2008","AG LAND, ORGANIC, CROP INSURANCE, FEDERAL - NUMBER OF OPERATIONS"
"2014","2016","AG LAND, ORGANIC, OWNED - ACRES"
"2014","2016","AG LAND, ORGANIC, OWNED - NUMBER OF OPERATIONS"
"2014","2015","AG LAND, ORGANIC, OWNED, TRANSITIONING - ACRES"
"2014","2015","AG LAND, ORGANIC, OWNED, TRANSITIONING - NUMBER OF OPERATIONS"
"2014","2016","AG LAND, ORGANIC, RENTED FROM OTHERS - ACRES"
"2014","2016","AG LAND, ORGANIC, RENTED FROM OTHERS - NUMBER OF OPERATIONS"
"2014","2015","AG LAND, ORGANIC, RENTED FROM OTHERS, TRANSITIONING - ACRES"
"2014","2015","AG LAND, ORGANIC, RENTED FROM OTHERS, TRANSITIONING - NUMBER OF OPERATIONS"
"2014","2016","AG LAND, ORGANIC, RENTED TO OTHERS - ACRES"
"2014","2016","AG LAND, ORGANIC, RENTED TO OTHERS - NUMBER OF OPERATIONS"
"2014","2015","AG LAND, ORGANIC, RENTED TO OTHERS, TRANSITIONING - ACRES"
"2014","2015","AG LAND, ORGANIC, RENTED TO OTHERS, TRANSITIONING - NUMBER OF OPERATIONS"
"2007","2015","AG LAND, ORGANIC, TRANSITIONING - ACRES"
"2007","2017","AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS"
"2012","2017","AG LAND, OWNED - ACRES"
"2012","2017","AG LAND, OWNED - NUMBER OF OPERATIONS"
"2014","2014","AG LAND, OWNED, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - ACRES"
"2014","2014","AG LAND, OWNED, ACQUIRED, PURCHASED FROM NON-RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - ACRES"
"2014","2014","AG LAND, OWNED, ACQUIRED, PURCHASED FROM RELATIVE, DIRECT SALE OR BROKER - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ACQUIRED, PURCHASED IN AUCTION - ACRES"
"2014","2014","AG LAND, OWNED, ACQUIRED, PURCHASED IN AUCTION - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ACQUIRED, VIA INHERITANCE & GIFT - ACRES"
"2014","2014","AG LAND, OWNED, ACQUIRED, VIA INHERITANCE & GIFT - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, VIA WILL - ACRES"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, VIA WILL - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA GIFT - ACRES"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA GIFT - AREA, MEASURED IN COUNT"
"2014","2014","AG LAND, OWNED, ANTICIPATE DISPOSAL, WITHIN 5 YRS, VIA SALE & GIFT & TRUST - ACRES"
