"Min Year","Max Year","Data Item"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, FLATS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, FLATS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, FLATS - SALES, MEASURED IN FLATS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, HANGING BASKETS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SCAEVOLA, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, FLATS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, FLATS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, FLATS - SALES, MEASURED IN FLATS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, HANGING BASKETS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, HANGING BASKETS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, FLATS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, FLATS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, FLATS - SALES, MEASURED IN FLATS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, HANGING BASKETS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, HANGING BASKETS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, FLATS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, FLATS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, FLATS - SALES, MEASURED IN FLATS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, HANGING BASKETS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, SNAP DRAGON, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE) - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE) - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), FLATS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), FLATS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), FLATS - SALES, MEASURED IN FLATS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), HANGING BASKETS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), HANGING BASKETS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, FLATS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, FLATS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, FLATS - SALES, MEASURED IN FLATS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, HANGING BASKETS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, HANGING BASKETS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, FLATS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, FLATS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, FLATS - SALES, MEASURED IN FLATS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, HANGING BASKETS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, HANGING BASKETS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2014","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, THUNBERGIA (BLACK-EYED SUSAN VINE), WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, FLATS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, FLATS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, FLATS - SALES, MEASURED IN FLATS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, HANGING BASKETS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, HANGING BASKETS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, FLATS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, FLATS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, FLATS - SALES, MEASURED IN FLATS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, HANGING BASKETS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, HANGING BASKETS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, RETAIL, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, FLATS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, FLATS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, FLATS - SALES, MEASURED IN FLATS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, HANGING BASKETS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, HANGING BASKETS - SALES, MEASURED IN BASKETS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS, GE 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS, LT 5 INCHES - OPERATIONS WITH SALES"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN $"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS, LT 5 INCHES - SALES, MEASURED IN POTS"
"2009","2014","BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VINCA (CATHARANTHUS ROSEUS) - OPERATIONS WITH SALES"
