YEAR,LOCATION,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE
1998,TENNESSEE,1210000.0,1250000.0,35090000.0,29.0
1998,TEXAS,270000.0,440000.0,5940000.0,22.0
1998,VIRGINIA,480000.0,500000.0,11040000.0,23.0
1998,WISCONSIN,1100000.0,1150000.0,51700000.0,47.0
1999,ALABAMA,200000.0,240000.0,3200000.0,16.0
1999,ARKANSAS,3300000.0,3400000.0,92400000.0,28.0
1999,DELAWARE,201000.0,205000.0,5427000.0,27.0
1999,FLORIDA,19000.0,20000.0,608000.0,32.0
1999,GEORGIA,190000.0,220000.0,3610000.0,19.0
1999,ILLINOIS,10550000.0,10600000.0,443100000.0,42.0
1999,INDIANA,5550000.0,5600000.0,216450000.0,39.0
1999,IOWA,10750000.0,10800000.0,478375000.0,44.5
1999,KANSAS,2800000.0,2850000.0,81200000.0,29.0
1999,KENTUCKY,1160000.0,1200000.0,24360000.0,21.0
1999,LOUISIANA,990000.0,1020000.0,26730000.0,27.0
1999,MARYLAND,480000.0,490000.0,15360000.0,32.0
1999,MICHIGAN,1940000.0,1950000.0,77600000.0,40.0
1999,MINNESOTA,6900000.0,7000000.0,289800000.0,42.0
1999,MISSISSIPPI,1900000.0,1950000.0,44650000.0,23.5
1999,MISSOURI,5350000.0,5400000.0,147125000.0,27.5
1999,NEBRASKA,4250000.0,4300000.0,180625000.0,42.5
1999,NEW JERSEY,98000.0,105000.0,2352000.0,24.0
1999,NEW YORK,128000.0,130000.0,4736000.0,37.0
1999,NORTH CAROLINA,1300000.0,1400000.0,29900000.0,23.0
1999,NORTH DAKOTA,1340000.0,1350000.0,46900000.0,35.0
1999,OHIO,4500000.0,4600000.0,162000000.0,36.0
1999,OKLAHOMA,360000.0,480000.0,6840000.0,19.0
1999,PENNSYLVANIA,350000.0,370000.0,10150000.0,29.0
1999,SOUTH CAROLINA,450000.0,480000.0,9000000.0,20.0
1999,SOUTH DAKOTA,4070000.0,4100000.0,146520000.0,36.0
1999,TENNESSEE,1200000.0,1250000.0,22800000.0,19.0
1999,TEXAS,380000.0,400000.0,10260000.0,27.0
