YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT POOR","CONDITION in PCT FAIR","CONDITION in PCT EXCELLENT","CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, PREVIOUS YEAR in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT GOOD","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT"
1986,MINNESOTA,27,"  ","   ","WEEK #38",SOYBEANS,2,38,8,2,50," "," "," "," "," "," "," "," "," "," "
1986,MINNESOTA,27,"  ","   ","WEEK #39",SOYBEANS,2,38,8,2,50," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #24",SOYBEANS,3,31,8,1,57," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS,5,36,5," ",54," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS,1,23,14," ",62," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS,3,16,10," ",71," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS,1,4,15," ",80," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS," ",12,15," ",73," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS,2,17,10," ",71," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS,3,18,4," ",75," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #32",SOYBEANS,1,23,9," ",67," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #33",SOYBEANS,2,17,8," ",73," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #34",SOYBEANS," ",22,7," ",71," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #35",SOYBEANS,5,28,4," ",63," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #36",SOYBEANS,2,31,4," ",63," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #37",SOYBEANS,1,32,5," ",62," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #38",SOYBEANS,3,30,4," ",63," "," "," "," "," "," "," "," "," "," "
1987,ILLINOIS,17,"  ","   ","WEEK #39",SOYBEANS,2,33,6," ",59," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #24",SOYBEANS,2,31,4," ",63," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #25",SOYBEANS,2,23,5,1,69," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #26",SOYBEANS,1,17,12," ",70," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #27",SOYBEANS,2,23,8," ",67," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #28",SOYBEANS,1,14,10," ",75," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #29",SOYBEANS," ",13,16," ",71," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #30",SOYBEANS,1,11,27," ",61," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #31",SOYBEANS,3,21,13," ",63," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #32",SOYBEANS,4,25,13,1,57," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #33",SOYBEANS,1,14,17,1,67," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #34",SOYBEANS,1,10,19," ",70," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #35",SOYBEANS,1,12,17," ",70," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #36",SOYBEANS,1,7,20," ",72," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #37",SOYBEANS,1,9,20," ",70," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #38",SOYBEANS,1,11,19,1,68," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #39",SOYBEANS,1,6,24,1,68," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #40",SOYBEANS," ",11,37," ",52," "," "," "," "," "," "," "," "," "," "
1987,IOWA,19,"  ","   ","WEEK #41",SOYBEANS,1,7,40,1,51," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #24",SOYBEANS,2,42,2," ",54," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #25",SOYBEANS,2,42,5,1,50," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #26",SOYBEANS,3,37,4,2,54," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #27",SOYBEANS,2,39,6,2,51," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #28",SOYBEANS,2,29,13,2,54," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #29",SOYBEANS,5,20,21,2,52," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #30",SOYBEANS,3,20,22,1,54," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #31",SOYBEANS,1,25,15,2,57," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #32",SOYBEANS,2,21,13,2,62," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #33",SOYBEANS,2,22,15,2,59," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #34",SOYBEANS,2,23,23," ",52," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #35",SOYBEANS,2,19,19," ",60," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #36",SOYBEANS," ",19,18," ",63," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #37",SOYBEANS," ",20,18," ",62," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #38",SOYBEANS," ",20,20," ",60," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #39",SOYBEANS," ",10,25," ",65," "," "," "," "," "," "," "," "," "," "
1987,MINNESOTA,27,"  ","   ","WEEK #40",SOYBEANS," ",10,25," ",65," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #23",SOYBEANS,7,54,1," ",38," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #24",SOYBEANS,14,64," ",1,21," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS,20,61," ",2,17," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS,14,69," ",2,15," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS,22,61," ",7,10," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS,20,68," ",4,8," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS,14,73," ",1,12," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS,23,63," ",2,12," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS,32,55,1,4,8," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #32",SOYBEANS,29,53," ",3,15," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #33",SOYBEANS,34,49," ",5,12," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #34",SOYBEANS,26,65," ",3,6," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #35",SOYBEANS,28,59," ",1,12," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #36",SOYBEANS,23,61," ",5,11," "," "," "," "," "," "," "," "," "," "
1988,ILLINOIS,17,"  ","   ","WEEK #37",SOYBEANS,23,59," ",7,11," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #23",SOYBEANS,4,45,3," ",48," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #24",SOYBEANS,12,53,2,1,32," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #25",SOYBEANS,16,56," "," ",28," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #26",SOYBEANS,12,56,4," ",28," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #27",SOYBEANS,23,54,2,2,19," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #28",SOYBEANS,22,43,4,2,29," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #29",SOYBEANS,10,41,4,1,44," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #30",SOYBEANS,19,53,2,3,23," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #31",SOYBEANS,36,48," ",6,10," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #32",SOYBEANS,38,46," ",10,6," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #33",SOYBEANS,44,38," ",14,4," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #34",SOYBEANS,34,51," ",5,10," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #35",SOYBEANS,33,50," ",7,10," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #36",SOYBEANS,35,52," ",4,9," "," "," "," "," "," "," "," "," "," "
1988,IOWA,19,"  ","   ","WEEK #37",SOYBEANS,35,46," ",6,13," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #23",SOYBEANS,8,62," ",3,27," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #24",SOYBEANS,16,61," ",1,22," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #25",SOYBEANS,17,63,2,5,13," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #26",SOYBEANS,17,59,1,7,16," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #27",SOYBEANS,22,44,2,15,17," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #28",SOYBEANS,16,57," ",9,18," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #29",SOYBEANS,21,49,1,13,16," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #30",SOYBEANS,32,42," ",22,4," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #31",SOYBEANS,39,34," ",23,4," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #32",SOYBEANS,41,31," ",18,10," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #33",SOYBEANS,35,41," ",14,10," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #34",SOYBEANS,32,46," ",15,7," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #35",SOYBEANS,34,48," ",10,8," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #36",SOYBEANS,34,48," ",10,8," "," "," "," "," "," "," "," "," "," "
1988,MINNESOTA,27,"  ","   ","WEEK #37",SOYBEANS,34,48," ",10,8," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #23",SOYBEANS,2,15,11," ",72," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #24",SOYBEANS," ",18,10," ",72," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS," ",25,6," ",69," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS," ",17,8," ",75," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS," ",27,4," ",69," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS,1,32,3," ",64," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS," ",16,5," ",79," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS," ",10,11," ",79," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS," ",13,13," ",74," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #32",SOYBEANS,1,25,9," ",65," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #33",SOYBEANS,4,23,6," ",67," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #34",SOYBEANS,3,20,7," ",70," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #35",SOYBEANS,1,16,9," ",74," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #36",SOYBEANS," ",16,11," ",73," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #37",SOYBEANS," ",14,8," ",78," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #38",SOYBEANS," ",14,8," ",78," "," "," "," "," "," "," "," "," "," "
1989,ILLINOIS,17,"  ","   ","WEEK #39",SOYBEANS," ",14,8," ",78," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #23",SOYBEANS," ",30,5," ",65," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #24",SOYBEANS,4,30,3," ",63," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #25",SOYBEANS,3,33,3," ",61," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #26",SOYBEANS,2,28,7," ",63," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #27",SOYBEANS,4,36,3," ",57," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #28",SOYBEANS,2,37,3," ",58," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #29",SOYBEANS," ",25,6," ",69," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #30",SOYBEANS,1,25,8," ",66," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #31",SOYBEANS,1,29,6," ",64," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #32",SOYBEANS,9,42,4,2,43," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #33",SOYBEANS,14,48,3,6,29," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #34",SOYBEANS,15,56," ",4,25," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #35",SOYBEANS,12,44,4," ",40," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #36",SOYBEANS,6,44,2,1,47," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #37",SOYBEANS,5,43,2," ",50," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #38",SOYBEANS,5,37,2," ",56," "," "," "," "," "," "," "," "," "," "
1989,IOWA,19,"  ","   ","WEEK #39",SOYBEANS,7,33,5," ",55," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #23",SOYBEANS,5,56,1,2,36," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #24",SOYBEANS,5,46,3,3,43," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #25",SOYBEANS,7,53,1,1,38," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #26",SOYBEANS,2,55,2," ",41," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #27",SOYBEANS,3,51,2,2,42," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #28",SOYBEANS,12,35,5,1,47," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #29",SOYBEANS," ",39,6," ",55," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #30",SOYBEANS,8,34,5,2,51," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #31",SOYBEANS,9,32,4,2,53," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #32",SOYBEANS,8,43,1,6,42," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #33",SOYBEANS,10,42,6,5,37," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #34",SOYBEANS,10,42,6,5,37," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #35",SOYBEANS,6,42,9,1,42," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #36",SOYBEANS,3,41,9,1,46," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #37",SOYBEANS,5,38,4,2,51," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #38",SOYBEANS,2,44,5,1,48," "," "," "," "," "," "," "," "," "," "
1989,MINNESOTA,27,"  ","   ","WEEK #39",SOYBEANS,2,35,7,1,55," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #24",SOYBEANS,4,36,1,1,58," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS,4,37,1," ",58," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS,1,46,2," ",51," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS,1,44,3," ",52," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS,3,32,2," ",63," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS,3,32,6," ",59," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS,1,36,4," ",59," "," "," "," "," "," "," "," "," "," "
1990,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS,1,33,6," ",60," "," "," "," "," "," "," "," "," "," "
